Name,Ticker,Price,Daily volume (shares),Number of best quote updates,Number of trades,Average spread (cents),Maximum spread (cents),Best quote depth (shares)
AdvancedMicroDevices,AMD,9.61,20872996,417204,6687,1,1,1035
ApolloGroup,APOL,62.92,1949337,172942,4095,2,5,15
AmericanExpress,AXP,45.21,8678723,559701,7748,1,24,79
Autozone,AZO,179.03,243197,43682,1081,9,35,7
BankofAmerica,BAC,18.43,164550168,1529395,15008,1,1,3208
BectonDickinson,BDX,78.07,1130362,61029,2968,2,5,15
BankofNewYorkMellon,BK,31.77,6310701,285619,5518,1,1,122
BostonScientific,BSX,7.13,25746787,309441,6768,1,1,2965
PeabodyEnergycorp,BTU,47.14,5210642,298616,7267,1,3,29
Caterpillar,CAT,67.20,6664891,392499,8224,1,2,38
Chubb,CB,52.22,1951618,149010,3601,1,2,43
Carnival,CCL,40.16,4275911,215427,5503,1,2,53
CincinnatiFinancial,CINF,29.41,688914,51373,1528,1,2,42
CMEGroup,CME,322.83,418955,38504,1412,31,103,5
Coach,COH,41.91,3126469,176795,4458,1,2,41
ConocoPhillips,COP,56.09,9644544,426614,8621,1,2,84
CoventryHealthCare,CVH,24.16,1157022,79305,2213,1,2,38
DenburyResources,DNR,17.88,5737740,263173,4643,1,1,186
DevonEnergy,DVN,66.98,3260982,177006,5805,2,4,18
Equifax,EFX,35.34,799505,62957,1945,1,3,39
Eaton,ETN,78.53,1757136,67989,3580,2,6,13
Fiserv,FISV,52.56,1038311,58304,2208,1,3,20
Hasbro,HAS,39.48,1322037,86040,2672,1,2,34
HCP,HCP,32.63,2872521,213045,4357,1,2,48
StarwoodHotels,HOT,50.59,3164807,150252,5106,2,4,22
Kohl’s,KSS,56.88,3064821,128196,4936,1,3,27
L-3Communications,LLL,94.64,670937,72818,2141,2,6,9
LockheedMartin,LMT,84.14,1416072,88254,3333,2,5,15
Macy’s,M,23.40,8324639,491756,6469,1,1,176
Marriott,MAR,34.45,5014098,238190,5499,1,2,65
McAfee,MFE,40.04,2469324,109073,3561,1,2,40
McGraw-Hill,MHP,34.90,1954576,102389,3261,1,2,42
MedcoHealthSolutions,MHS,63.22,2798098,109382,4680,1,3,25
Merck,MRK,36.03,13930842,448748,7997,1,1,231
MarathonOil,MRO,32.33,5035354,341408,5522,1,1,143
MeadWestvaco,MWV,26.96,1035547,92825,2312,1,3,37
NewmontMining,NEM,53.43,5673718,435295,7717,1,2,38
Omnicom,OMC,41.17,3357585,150800,4359,1,2,65
MetroPCSCommunications,PCS,7.53,4424560,107967,2901,1,1,523
Pultegroup,PHM,11.80,6834683,262420,4604,1,1,319
PerkinElmer,PKI,23.98,1268774,78114,2127,1,2,72
RyderSystem,R,44.01,631889,47422,2085,2,5,11
ReynoldsAmerican,RAI,54.44,773387,56236,2076,1,4,22
Schlumberger,SLB,67.94,9476060,440839,10286,1,2,39
TecoEnergy,TE,16.52,1070815,70318,1807,1,1,148
TimeWarnerCable,TWC,53.21,1770234,88286,3554,2,3,22
Whirlpool,WHR,97.73,1424264,134152,3348,4,9,10
Windstream,WIN,11.03,2508830,104887,2937,1,1,798
WatsonPharmaceuticals,WPI,42.51,895967,63094,2024,1,3,29
XTOEnergy,XTO,48.13,7219436,612804,5040,1,7,225
Grand mean,,51.75,7512376,223232,4552,2,6,227
