Ticker,alpha_hat,t(alpha_hat),beta_hat,t(beta_hat),gamma_Q_hat,t(gamma_Q_hat),R^2,alpha!=0 (%),beta!=0 (%),gamma_Q!=0 (%)
AMD,-0.0032,-0.17,0.0008,9.96,1.4E-07,0.68,64%,0%,98%,22%
APOL,0.0038,0.10,0.0555,10.32,-2.2E-04,-1.17,63%,12%,91%,4%
AXP,0.0019,0.08,0.0082,13.87,-3.8E-06,-0.88,69%,11%,100%,5%
AZO,0.0101,0.33,0.1619,6.39,-9.3E-04,-0.89,47%,23%,97%,3%
BAC,-0.0018,-0.09,0.0002,18.36,1.9E-09,0.01,79%,1%,100%,8%
BDX,-0.0008,-0.06,0.0536,10.08,-1.1E-04,-0.38,63%,9%,100%,8%
BK,-0.0078,-0.19,0.0069,14.97,-4.0E-06,-0.57,74%,3%,100%,6%
BSX,0.0000,-0.01,0.0003,6.12,7.8E-08,1.14,58%,0%,81%,22%
BTU,0.0048,0.12,0.0242,14.51,-3.5E-05,-1.26,72%,11%,100%,3%
CAT,0.0147,0.23,0.0194,14.85,-1.9E-05,-1.13,71%,12%,99%,3%
CB,-0.0086,-0.07,0.0191,11.97,-3.5E-07,0.00,64%,5%,100%,8%
CCL,-0.0067,-0.18,0.0140,13.88,-1.2E-05,-0.64,70%,3%,99%,7%
CINF,-0.0030,-0.02,0.0260,10.73,-7.0E-06,0.27,70%,1%,98%,16%
CME,0.0506,0.05,0.6262,4.98,-7.2E-03,-0.99,35%,15%,94%,2%
COH,-0.0221,-0.45,0.0179,12.75,-1.7E-05,-0.77,69%,2%,100%,3%
COP,-0.0008,0.06,0.0084,12.50,-5.8E-06,-1.17,68%,10%,100%,3%
CVH,-0.0034,-0.06,0.0217,10.83,7.6E-06,0.20,65%,3%,99%,10%
DNR,-0.0008,-0.04,0.0045,12.76,-1.3E-07,0.19,69%,1%,99%,13%
DVN,0.0112,0.18,0.0370,11.48,-1.0E-04,-1.59,65%,17%,97%,0%
EFX,-0.0032,-0.04,0.0222,8.71,6.4E-05,0.64,56%,1%,98%,18%
ETN,-0.0076,0.05,0.0712,10.51,-2.3E-04,-1.14,65%,14%,98%,1%
FISV,-0.0002,0.06,0.0397,10.42,-2.3E-05,-0.19,63%,4%,100%,8%
HAS,-0.0031,-0.02,0.0222,11.45,4.7E-06,0.21,67%,3%,100%,16%
HCP,-0.0078,-0.17,0.0150,13.60,-1.4E-05,-0.46,67%,2%,100%,6%
HOT,-0.0012,0.05,0.0345,12.64,-7.2E-05,-1.21,68%,10%,99%,2%
KSS,-0.0030,-0.04,0.0317,13.82,-5.4E-05,-0.80,71%,10%,98%,3%
LLL,0.0160,0.32,0.1000,11.76,-3.8E-04,-0.75,67%,14%,96%,3%
LMT,0.0006,0.00,0.0520,13.58,-1.2E-04,-0.98,72%,14%,100%,1%
M,-0.0010,0.04,0.0043,15.82,8.8E-08,0.13,75%,0%,100%,12%
MAR,-0.0039,-0.02,0.0121,14.61,-4.1E-06,-0.23,71%,3%,100%,4%
MFE,0.0087,0.16,0.0205,12.72,-3.8E-05,-0.38,68%,7%,100%,7%
MHP,-0.0073,-0.13,0.0211,11.62,5.8E-06,0.14,68%,2%,99%,11%
MHS,-0.0055,-0.16,0.0334,11.70,-8.3E-05,-1.10,66%,9%,99%,3%
MRK,-0.0065,-0.20,0.0032,12.53,-5.4E-07,-0.38,69%,1%,100%,8%
MRO,0.0018,0.07,0.0058,13.67,-3.6E-07,0.22,69%,5%,100%,13%
MWV,-0.0011,0.01,0.0205,11.79,-1.7E-05,-0.25,68%,3%,100%,7%
NEM,-0.0102,-0.22,0.0170,13.81,-1.9E-05,-1.36,71%,8%,100%,2%
OMC,-0.0099,-0.28,0.0144,11.88,-4.5E-06,-0.01,65%,2%,99%,13%
PCS,-0.0006,-0.03,0.0015,5.21,1.8E-06,1.01,53%,0%,79%,24%
PHM,0.0006,0.03,0.0027,10.33,8.4E-07,0.55,66%,1%,98%,21%
PKI,-0.0004,-0.03,0.0102,7.25,4.1E-05,1.10,53%,2%,94%,29%
R,0.0006,0.03,0.0667,10.14,3.7E-05,0.01,63%,8%,98%,10%
RAI,-0.0070,-0.10,0.0396,10.40,2.6E-05,0.01,66%,5%,100%,11%
SLB,-0.0077,-0.15,0.0198,16.76,-1.8E-05,-1.15,76%,7%,100%,1%
TE,0.0011,0.05,0.0049,6.66,1.4E-05,1.45,54%,2%,86%,30%
TWC,-0.0130,-0.13,0.0384,11.80,-5.6E-05,-0.44,64%,8%,99%,5%
WHR,0.0628,0.63,0.1278,10.26,-3.3E-04,-0.80,65%,22%,97%,4%
WIN,-0.0004,-0.03,0.0009,3.12,1.5E-06,0.76,44%,1%,60%,15%
WPI,-0.0090,-0.21,0.0270,10.47,2.9E-05,0.28,66%,3%,98%,14%
XTO,-0.0088,-0.18,0.0029,13.28,2.7E-07,0.30,65%,0%,100%,18%
Average,0.0002,-0.02,0.0398,11.47,-2.0E-04,-0.28,65%,6%,97%,9%
