Ticker,c_hat,lambda_hat,t(c_hat),t(lambda_hat),c_hat_lower,c_hat_upper,lambda_hat_lower,lambda_hat_upper,R^2,"corr(beta_hat,beta_fit)^2","corr(beta_hat,beta_fit_lambda1)^2"
AMD,0.23,0.94,27.74,23.11,0.22,0.25,0.86,1.02,78%,86%,86%
APOL,0.27,0.36,4.43,1.05,0.15,0.39,-0.32,1.04,2%,30%,31%
AXP,0.14,0.83,13.95,26.48,0.12,0.16,0.77,0.89,84%,76%,76%
AZO,0.39,0.67,5.48,5.10,0.25,0.53,0.41,0.92,13%,17%,16%
BAC,0.27,0.96,25.27,19.74,0.25,0.29,0.90,1.03,76%,87%,87%
BDX,0.38,1.04,22.83,18.64,0.35,0.41,0.93,1.15,71%,68%,68%
BK,0.21,0.92,17.52,54.54,0.19,0.24,0.88,0.95,93%,91%,90%
BSX,0.35,0.98,14.98,24.55,0.31,0.40,0.90,1.05,73%,81%,81%
BTU,0.42,1.12,40.90,36.77,0.40,0.44,1.06,1.18,87%,83%,83%
CAT,0.29,0.96,21.70,16.87,0.27,0.32,0.85,1.07,87%,83%,83%
CB,0.32,1.02,27.08,49.61,0.30,0.34,0.98,1.06,92%,89%,89%
CCL,0.26,0.96,24.36,37.55,0.24,0.29,0.91,1.01,87%,83%,83%
CINF,0.31,0.97,20.05,47.39,0.28,0.34,0.93,1.01,92%,88%,88%
CME,1.27,0.50,2.55,1.99,0.29,2.24,0.01,0.99,2%,4%,3%
COH,0.37,1.05,15.29,36.65,0.32,0.43,0.98,1.12,77%,75%,75%
COP,0.13,0.80,8.52,15.95,0.10,0.16,0.70,0.89,75%,66%,66%
CVH,0.32,1.03,26.50,37.51,0.29,0.34,0.98,1.08,89%,89%,89%
DNR,0.23,0.96,32.44,40.90,0.22,0.24,0.92,1.01,91%,89%,89%
DVN,0.26,0.91,13.50,16.66,0.22,0.30,0.80,1.02,45%,56%,56%
EFX,0.30,0.99,20.16,26.13,0.27,0.33,0.92,1.07,84%,79%,79%
ETN,0.45,1.07,11.51,17.34,0.38,0.53,0.95,1.19,60%,56%,56%
FISV,0.34,1.01,23.35,30.70,0.31,0.36,0.94,1.07,84%,77%,77%
HAS,0.32,1.00,26.36,46.00,0.30,0.34,0.96,1.05,89%,83%,83%
HCP,0.19,0.89,22.93,51.27,0.17,0.21,0.86,0.93,94%,90%,90%
HOT,0.44,1.12,19.53,26.59,0.40,0.48,1.04,1.20,82%,80%,79%
KSS,0.39,1.05,24.40,33.17,0.36,0.42,0.99,1.11,85%,78%,78%
LLL,0.43,1.01,13.21,14.45,0.37,0.50,0.87,1.14,51%,58%,58%
LMT,0.50,1.14,7.31,13.49,0.37,0.64,0.98,1.31,60%,52%,52%
M,0.19,0.90,37.41,57.39,0.18,0.20,0.87,0.93,94%,92%,92%
MAR,0.28,0.98,22.58,50.20,0.25,0.30,0.94,1.02,92%,88%,88%
MFE,0.31,1.01,20.28,46.20,0.28,0.34,0.96,1.05,91%,86%,86%
MHP,0.27,0.94,19.60,33.62,0.24,0.30,0.89,1.00,82%,74%,74%
MHS,0.53,1.16,17.03,34.25,0.47,0.59,1.10,1.23,85%,81%,80%
MRK,0.13,0.81,18.07,32.20,0.11,0.14,0.76,0.86,87%,81%,81%
MRO,0.23,0.94,35.54,49.68,0.21,0.24,0.91,0.98,94%,93%,93%
MWV,0.32,1.05,28.07,37.81,0.30,0.34,1.00,1.10,90%,85%,85%
NEM,0.26,0.98,18.79,25.97,0.23,0.28,0.91,1.05,81%,77%,77%
OMC,0.30,0.96,29.47,17.76,0.28,0.32,0.85,1.06,83%,85%,85%
PCS,0.30,1.02,21.27,18.73,0.27,0.33,0.90,1.14,53%,82%,82%
PHM,0.28,0.98,36.43,35.12,0.26,0.29,0.93,1.04,86%,90%,90%
PKI,0.30,1.07,26.59,38.35,0.28,0.32,1.00,1.13,82%,88%,87%
R,0.37,1.02,18.51,15.76,0.33,0.41,0.90,1.15,57%,58%,58%
RAI,0.35,1.03,24.94,40.46,0.32,0.38,0.98,1.08,86%,76%,76%
SLB,0.35,1.06,18.98,40.60,0.31,0.38,1.01,1.12,91%,88%,88%
TE,0.21,1.00,16.18,24.28,0.18,0.24,0.92,1.09,70%,86%,86%
TWC,0.37,1.04,17.70,15.96,0.33,0.42,0.91,1.16,72%,79%,79%
WHR,0.78,1.18,9.24,11.54,0.61,0.94,0.98,1.38,44%,43%,42%
WIN,5.81,1.60,16.09,11.70,5.11,6.52,1.33,1.87,28%,71%,71%
WPI,0.27,0.92,19.33,28.99,0.24,0.30,0.86,0.98,78%,76%,76%
XTO,0.31,1.04,30.85,39.51,0.29,0.33,0.98,1.09,89%,91%,91%
Grand mean,0.45,0.98,20.74,29.53,0.38,0.52,0.88,1.08,74%,75%,75%
