Ticker,OFI_R^2,OFI_t(beta_hat),OFI_beta!=0 (%),OFI_F,TI_R^2,TI_t(beta_T_hat),TI_beta_T!=0 (%),TI_F,Both_R^2,Both_t(theta_O_hat),Both_t(theta_T_hat),Both_theta_O!=0 (%),Both_theta_T!=0 (%),Both_F
AMD,64%,9.96,98%,382,39%,4.15,86%,140,67%,6.49,1.26,93%,34%,214
APOL,63%,10.32,91%,396,30%,4.14,84%,83,66%,8.00,1.09,89%,26%,211
AXP,69%,13.87,100%,449,34%,4.72,83%,101,71%,10.05,1.50,100%,44%,241
AZO,47%,6.39,97%,179,30%,4.09,90%,87,54%,5.02,2.34,96%,68%,118
BAC,79%,18.36,100%,774,45%,6.31,96%,157,80%,12.55,0.72,99%,19%,397
BDX,63%,10.08,100%,362,28%,4.02,82%,79,65%,7.88,1.23,97%,34%,195
BK,74%,14.97,100%,610,36%,4.58,81%,117,75%,10.68,0.68,99%,17%,313
BSX,58%,6.12,81%,338,31%,2.57,54%,106,62%,4.51,0.57,73%,12%,189
BTU,72%,14.51,100%,527,35%,5.21,88%,103,74%,10.90,1.31,99%,32%,277
CAT,71%,14.85,99%,498,33%,5.01,86%,94,72%,11.27,1.28,99%,38%,262
CB,64%,11.97,100%,378,33%,4.66,88%,102,66%,8.42,1.34,99%,37%,202
CCL,70%,13.88,99%,478,32%,4.55,85%,93,71%,10.50,0.98,99%,26%,247
CINF,70%,10.73,98%,552,39%,4.26,87%,141,72%,7.17,1.01,96%,27%,297
CME,35%,4.98,94%,112,24%,3.39,75%,63,44%,4.10,2.18,92%,59%,78
COH,69%,12.75,100%,457,29%,3.91,82%,80,70%,10.06,0.87,100%,22%,238
COP,68%,12.50,100%,450,35%,4.92,84%,107,70%,9.19,1.42,100%,40%,240
CVH,65%,10.83,99%,418,35%,4.10,84%,114,67%,7.30,1.01,97%,25%,222
DNR,69%,12.76,99%,471,32%,3.98,81%,101,70%,9.29,1.01,97%,24%,246
DVN,65%,11.48,97%,414,33%,4.83,88%,96,68%,8.58,1.70,93%,48%,226
EFX,56%,8.71,98%,289,31%,3.72,80%,101,60%,6.21,1.64,96%,43%,167
ETN,65%,10.51,98%,389,25%,3.59,71%,69,67%,8.66,1.04,98%,29%,209
FISV,63%,10.42,100%,380,28%,3.79,81%,79,65%,8.12,0.88,100%,25%,201
HAS,67%,11.45,100%,427,32%,4.04,84%,97,68%,8.53,0.89,100%,24%,223
HCP,67%,13.60,100%,417,31%,4.43,82%,91,68%,10.01,1.05,100%,32%,217
HOT,68%,12.64,99%,438,27%,3.86,77%,74,70%,9.94,1.17,99%,29%,231
KSS,71%,13.82,98%,525,31%,4.43,81%,91,72%,10.83,0.94,97%,25%,274
LLL,67%,11.76,96%,485,36%,5.07,90%,117,70%,8.58,1.63,94%,44%,270
LMT,72%,13.58,100%,516,35%,4.89,90%,105,73%,10.19,1.50,99%,40%,277
M,75%,15.82,100%,640,35%,4.41,84%,108,76%,11.38,0.97,100%,26%,330
MAR,71%,14.61,100%,498,34%,4.77,89%,105,72%,10.45,1.05,100%,27%,258
MFE,68%,12.72,100%,463,31%,4.17,82%,93,69%,9.06,0.73,99%,18%,239
MHP,68%,11.62,99%,489,31%,3.85,84%,96,70%,8.92,0.77,98%,19%,257
MHS,66%,11.70,99%,414,28%,4.03,77%,80,68%,9.10,1.11,99%,27%,218
MRK,69%,12.53,100%,451,31%,4.08,82%,93,70%,9.20,0.76,100%,20%,235
MRO,69%,13.67,100%,465,35%,4.66,89%,104,70%,9.73,0.91,100%,24%,241
MWV,68%,11.79,100%,452,34%,4.37,86%,102,69%,8.63,0.80,100%,24%,237
NEM,71%,13.81,100%,490,34%,4.99,81%,100,72%,10.24,1.53,99%,43%,260
OMC,65%,11.88,99%,411,30%,4.14,85%,88,67%,8.99,0.96,99%,24%,216
PCS,53%,5.21,79%,297,35%,2.68,59%,169,58%,3.44,0.86,71%,20%,195
PHM,66%,10.33,98%,416,35%,3.87,84%,115,68%,7.28,0.95,93%,29%,224
PKI,53%,7.25,94%,263,28%,3.03,70%,89,57%,5.39,1.24,88%,32%,148
R,63%,10.14,98%,352,27%,3.92,86%,71,65%,8.07,1.20,97%,30%,188
RAI,66%,10.40,100%,422,36%,4.67,89%,111,68%,7.52,1.11,99%,31%,224
SLB,76%,16.76,100%,644,32%,4.54,79%,94,77%,13.02,1.24,100%,36%,336
TE,54%,6.66,86%,301,37%,3.27,67%,175,60%,4.34,1.32,79%,29%,200
TWC,64%,11.80,99%,377,31%,4.26,77%,93,66%,8.46,1.34,99%,37%,201
WHR,65%,10.26,97%,394,29%,4.29,88%,85,67%,8.17,1.43,96%,39%,217
WIN,44%,3.12,60%,243,41%,2.68,54%,249,58%,1.78,1.39,42%,29%,206
WPI,66%,10.47,98%,437,32%,3.91,83%,100,68%,7.82,1.05,97%,30%,232
XTO,65%,13.28,100%,399,21%,3.05,63%,54,66%,10.72,1.05,100%,27%,209
Grand mean,65%,11.47,97%,429,32%,4.18,81%,103,67%,8.49,1.16,95%,31%,231
