Ticker,H_hat_avg,H_hat_stdev,OFI_R^2,OFI_t(beta_O_hat),OFI_beta_O!=0 (%),OFI_F,VOL_R^2,VOL_t(beta_V_hat),VOL_beta_V!=0 (%),VOL_F,Both_R^2,Both_t(phi_O_hat),Both_t(phi_V_hat),Both_phi_O!=0 (%),Both_phi_V!=0 (%),Both_F
AMD,0.06,0.08,63%,10.3,99%,356,14%,4.5,83%,34,63%,9.4,1.1,99%,35%,182
APOL,0.24,0.08,53%,8.3,90%,258,25%,6.8,99%,63,57%,6.9,2.9,89%,84%,144
AXP,0.16,0.08,55%,10.5,100%,249,20%,6.6,100%,48,57%,9.0,2.8,100%,81%,133
AZO,0.43,0.22,39%,5.5,96%,131,32%,5.3,100%,93,50%,4.3,3.6,94%,96%,98
BAC,0.09,0.08,73%,16.3,100%,560,24%,5.6,83%,61,74%,13.9,1.2,96%,35%,285
BDX,0.26,0.10,55%,8.4,99%,261,27%,6.3,100%,71,58%,6.7,2.9,98%,84%,147
BK,0.11,0.07,68%,13.1,100%,437,19%,6.6,97%,46,68%,11.5,2.0,99%,58%,225
BSX,-0.17,2.41,68%,8.4,100%,486,14%,3.3,95%,33,69%,8.0,0.1,97%,12%,246
BTU,0.24,0.07,58%,10.5,99%,283,23%,6.8,99%,57,60%,8.9,2.4,99%,78%,151
CAT,0.22,0.07,56%,10.4,98%,250,19%,6.0,98%,44,57%,8.9,2.1,98%,63%,131
CB,0.19,0.09,56%,10.1,99%,261,23%,6.4,99%,58,58%,8.2,2.6,99%,74%,141
CCL,0.14,0.07,60%,11.3,100%,309,19%,6.6,99%,45,62%,9.9,2.4,99%,74%,162
CINF,0.13,0.12,67%,10.6,99%,505,30%,6.1,98%,85,69%,8.7,2.0,99%,55%,268
CME,0.49,0.24,28%,4.1,94%,78,30%,4.8,99%,83,42%,3.2,3.6,86%,94%,71
COH,0.19,0.07,60%,10.4,99%,299,22%,6.5,99%,52,61%,8.9,2.2,98%,69%,157
COP,0.16,0.07,56%,9.8,100%,277,20%,6.0,96%,49,58%,8.4,2.4,100%,70%,145
CVH,0.18,0.10,62%,10.2,100%,352,27%,5.9,99%,72,64%,8.2,2.2,100%,70%,189
DNR,0.08,0.07,64%,12.0,99%,376,17%,6.3,95%,38,65%,10.7,1.8,99%,55%,193
DVN,0.26,0.07,52%,8.6,93%,236,24%,6.7,100%,59,55%,7.1,2.9,91%,81%,131
EFX,0.20,0.11,52%,8.1,99%,241,26%,5.4,99%,69,56%,6.4,2.7,97%,75%,137
ETN,0.26,0.10,55%,8.2,97%,252,27%,6.4,99%,70,58%,6.8,2.9,96%,83%,142
FISV,0.19,0.11,57%,9.1,100%,284,25%,5.9,100%,65,59%,7.3,2.2,99%,66%,153
HAS,0.20,0.09,61%,10.1,100%,328,26%,6.2,100%,67,63%,8.2,2.3,100%,73%,175
HCP,0.14,0.07,57%,11.1,100%,268,21%,7.0,99%,50,59%,9.3,2.7,100%,79%,143
HOT,0.23,0.08,57%,9.7,98%,263,24%,6.9,100%,60,60%,8.2,3.0,98%,85%,145
KSS,0.24,0.08,60%,10.8,97%,318,25%,6.6,99%,61,62%,9.0,2.4,97%,74%,169
LLL,0.33,0.12,58%,9.4,94%,323,34%,6.9,100%,101,63%,7.1,3.0,91%,86%,188
LMT,0.28,0.09,61%,10.7,99%,327,31%,7.3,100%,85,64%,8.4,2.9,99%,84%,182
M,0.11,0.07,69%,13.9,100%,463,20%,6.3,99%,46,69%,12.2,2.0,100%,60%,238
MAR,0.15,0.07,61%,12.3,100%,324,21%,6.9,99%,50,62%,10.4,2.4,100%,71%,170
MFE,0.16,0.09,60%,10.9,99%,318,24%,7.1,98%,62,62%,8.8,2.5,99%,71%,170
MHP,0.20,0.10,62%,10.2,99%,377,25%,5.9,99%,62,64%,8.5,1.9,99%,55%,199
MHS,0.23,0.08,56%,9.2,99%,258,24%,6.6,100%,58,58%,7.7,2.6,98%,77%,139
MRK,0.10,0.07,62%,11.0,100%,330,17%,5.4,99%,40,63%,9.8,1.8,100%,55%,170
MRO,0.09,0.06,61%,11.8,100%,333,16%,6.3,95%,36,63%,10.6,2.0,100%,54%,172
MWV,0.18,0.10,62%,10.3,100%,330,28%,6.7,100%,75,64%,8.2,2.4,100%,74%,180
NEM,0.20,0.07,56%,9.9,99%,253,20%,6.1,99%,47,58%,8.6,2.5,99%,75%,135
